"participantnum","date","ms_condition","dv_order","prous1","prous2","prous3","prous4","prous5","antius1","antius2","antius3","antius4","antius5","cheerful","sad","active","angryatself","disgusted","calm","guilty","enthusiastic","attentive","afraid","joyful","downhearted","bashful","tired","nervous","sheepish","sluggish","amazed","lonely","distressed","daring","shaky","sleepy","blameworthy","surprised","happy","excited","determined","strong","timid","hostile","frightened","scornful","alone","proud","astonished","relaxed","alert","jittery","interested","irritable","upset","lively","loathing","delighted","angry","ashamed","confident","inspired","bold","atease","energetic","fearless","blue","scared","concentrating","disgustedwithself","shy","drowsy","dissatisfiedwithself","countryofbirth","race","americanid","msincomplete","expert","source","location","proauth_avg","antiauth_avg","pro_minus_anti","pass_ER1","pass_ER2","pass_ER3","source_n"
NA,NA,"tv","anti-first",4,3,3,3,3,1,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"0",0,"ufl","ufl",3,3,0,TRUE,FALSE,FALSE,287
NA,NA,"tv","pro-first",3,2,4,4,4,2,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"0",0,"ufl","ufl",4,2.66666666666667,1.33333333333333,TRUE,FALSE,FALSE,287
NA,NA,"ms","anti-first",4,4,4,4,4,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"0",0,"ufl","ufl",4,2,2,TRUE,FALSE,FALSE,287
NA,NA,"tv","pro-first",4,3,3,4,4,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,"0",0,"ufl","ufl",3.66666666666667,3,0.666666666666667,TRUE,FALSE,FALSE,287
NA,NA,"ms","pro-first",5,4,4,5,5,3,4,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"0",0,"ufl","ufl",4.66666666666667,3.66666666666667,1,TRUE,FALSE,FALSE,287
NA,NA,"tv","anti-first",5,3,4,4,4,2,4,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"0",0,"ufl","ufl",4,3.33333333333333,0.666666666666667,TRUE,FALSE,FALSE,287
NA,NA,"ms","anti-first",4,3,3,4,3,2,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"0",0,"ufl","ufl",3.33333333333333,2.66666666666667,0.666666666666667,TRUE,FALSE,FALSE,287
NA,NA,"tv","pro-first",4,4,5,4,5,1,3,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"0",0,"ufl","ufl",4.66666666666667,1.66666666666667,3,TRUE,FALSE,FALSE,287
NA,NA,"ms","pro-first",4,3,3,4,3,3,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"0",0,"ufl","ufl",3.33333333333333,2.66666666666667,0.666666666666667,TRUE,FALSE,FALSE,287
NA,NA,"ms","pro-first",4,4,3,5,4,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"0",0,"ufl","ufl",4,1.33333333333333,2.66666666666667,TRUE,FALSE,FALSE,287
NA,NA,"tv","pro-first",4,3,3,4,2,1,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"0",0,"ufl","ufl",3,2.33333333333333,0.666666666666667,TRUE,FALSE,FALSE,287
NA,NA,"tv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"1",0,"ufl","ufl",NA,NA,NA,FALSE,FALSE,FALSE,287
"1",NA,"ms","pro-first",7,9,8,7,7,7,9,8,5,7,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,"1","1",NA,"0",0,"illinois","illinois",7.33333333333333,6.66666666666667,0.666666666666666,TRUE,TRUE,FALSE,89
"2",NA,"tv","anti-first",6,6,5,5,5,5,5,4,5,6,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"1","4",NA,"0",0,"illinois","illinois",5,5,0,TRUE,FALSE,FALSE,89
"3",NA,"tv","pro-first",7,5,4,6,6,5,7,4,7,6,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"1","1",NA,"0",0,"illinois","illinois",5.33333333333333,5.66666666666667,-0.333333333333334,TRUE,TRUE,FALSE,89
"4",NA,"ms","pro-first",9,7,7,7,7,5,5,5,4,5,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,"1","1",NA,"0",0,"illinois","illinois",7,4.66666666666667,2.33333333333333,TRUE,TRUE,FALSE,89
"5",NA,"tv","anti-first",5,5,4,4,4,5,3,4,3,2,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"2","4",NA,"0",0,"illinois","illinois",4,3,1,TRUE,FALSE,FALSE,89
"6",NA,"ms","anti-first",7,6,5,7,6,3,4,2,4,5,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,"1","1",NA,"0",0,"illinois","illinois",6,3.66666666666667,2.33333333333333,TRUE,TRUE,FALSE,89
"7",NA,"ms","anti-first",3,3,1,1,1,5,8,5,5,5,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,"1","1",NA,"0",0,"illinois","illinois",1,5,-4,TRUE,TRUE,FALSE,89
"8",NA,"tv","pro-first",8,8,8,8,8,8,8,8,8,8,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,"1",NA,NA,"0",0,"illinois","illinois",8,8,0,TRUE,FALSE,FALSE,89
"9",NA,"tv","anti-first",5,6,5,4,4,8,8,8,9,9,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"1","2",NA,"0",0,"illinois","illinois",4.33333333333333,8.66666666666667,-4.33333333333333,TRUE,FALSE,FALSE,89
"10",NA,"ms","anti-first",6,6,6,6,6,6,6,6,7,8,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,"1","6",NA,"0",0,"illinois","illinois",6,7,-1,TRUE,FALSE,FALSE,89
"11",NA,"ms","anti-first",5,5,5,5,4,5,6,4,3,3,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"2","4",NA,"0",0,"illinois","illinois",4.66666666666667,3.33333333333333,1.33333333333333,TRUE,FALSE,FALSE,89
"12",NA,"tv","pro-first",6,7,6,6,5,5,6,5,6,5,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"1","6",NA,"0",0,"illinois","illinois",5.66666666666667,5.33333333333333,0.333333333333334,TRUE,FALSE,FALSE,89
"13",NA,"tv","pro-first",5,6,5,5,5,6,6,6,6,6,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"2","4",NA,"0",0,"illinois","illinois",5,6,-1,TRUE,FALSE,FALSE,89
"14",NA,"ms","pro-first",5,6,6,5,5,5,6,6,5,5,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"1","2",NA,"0",0,"illinois","illinois",5.33333333333333,5.33333333333333,0,TRUE,FALSE,FALSE,89
"15",NA,"ms","pro-first",5,5,4,6,6,5,5,5,4,4,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,"1","1",NA,"0",0,"illinois","illinois",5.33333333333333,4.33333333333333,1,TRUE,TRUE,FALSE,89
"16",NA,"tv","pro-first",7,7,7,9,9,7,8,8,9,9,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,"2","4",NA,"0",0,"illinois","illinois",8.33333333333333,8.66666666666667,-0.333333333333332,TRUE,FALSE,FALSE,89
"17",NA,"tv","pro-first",5,5,4,5,6,6,7,6,6,5,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,"1",NA,NA,"0",0,"illinois","illinois",5,5.66666666666667,-0.666666666666667,TRUE,FALSE,FALSE,89
"18",NA,"tv","pro-first",5,6,5,3,5,7,6,9,8,8,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,"1",NA,NA,"0",0,"illinois","illinois",4.33333333333333,8.33333333333333,-4,TRUE,FALSE,FALSE,89
"19",NA,"ms","anti-first",6,7,7,7,6,5,7,6,5,6,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"1","4",NA,"0",0,"illinois","illinois",6.66666666666667,5.66666666666667,1,TRUE,FALSE,FALSE,89
"20",NA,"ms","anti-first",7,6,5,6,6,7,7,4,6,3,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,"2",NA,NA,"0",0,"illinois","illinois",5.66666666666667,4.33333333333333,1.33333333333333,TRUE,FALSE,FALSE,89
"21",NA,"ms","anti-first",6,6,6,8,8,7,6,5,7,6,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,"1","1",NA,"0",0,"illinois","illinois",7.33333333333333,6,1.33333333333333,TRUE,TRUE,FALSE,89
"22",NA,"tv","pro-first",5,4,5,6,6,6,6,6,7,7,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,"1",NA,NA,"1",0,"illinois","illinois",5.66666666666667,6.66666666666667,-1,FALSE,FALSE,FALSE,89
"23",NA,"tv","pro-first",5,5,5,4,4,5,5,5,6,6,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"1","1",NA,"0",0,"illinois","illinois",4.33333333333333,5.66666666666667,-1.33333333333333,TRUE,TRUE,FALSE,89
"24",NA,"ms","pro-first",7,7,6,8,7,5,7,7,3,5,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,"2","4",NA,"0",0,"illinois","illinois",7,5,2,TRUE,FALSE,FALSE,89
"25",NA,"tv","pro-first",7,5,5,7,7,7,7,6,6,8,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"1","1",NA,"0",0,"illinois","illinois",6.33333333333333,6.66666666666667,-0.333333333333334,TRUE,TRUE,FALSE,89
"26",NA,"ms","pro-first",5,5,4,3,3,5,4,4,4,4,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"2","4",NA,"0",0,"illinois","illinois",3.33333333333333,4,-0.666666666666667,TRUE,FALSE,FALSE,89
"27",NA,"ms","anti-first",8,7,7,7,7,4,6,5,4,5,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,"1","1",NA,"0",0,"illinois","illinois",7,4.66666666666667,2.33333333333333,TRUE,TRUE,FALSE,89
"28",NA,"tv","anti-first",4,4,6,4,3,6,6,6,6,6,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1","6",NA,"0",0,"illinois","illinois",4.33333333333333,6,-1.66666666666667,TRUE,FALSE,FALSE,89
"29",NA,"tv","pro-first",5,5,4,5,4,5,6,6,6,6,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,"1","4",NA,"0",0,"illinois","illinois",4.33333333333333,6,-1.66666666666667,TRUE,FALSE,FALSE,89
"30",NA,"ms","pro-first",5,5,4,4,6,6,6,8,7,8,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,"1","1",NA,"0",0,"illinois","illinois",4.66666666666667,7.66666666666667,-3,TRUE,TRUE,FALSE,89
"31",NA,"ms","anti-first",5,8,8,9,8,5,7,5,4,3,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"1","1",NA,"0",0,"illinois","illinois",8.33333333333333,4,4.33333333333333,TRUE,TRUE,FALSE,89
"32",NA,"tv","pro-first",5,6,4,4,6,5,6,5,7,7,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"1","2",NA,"0",0,"illinois","illinois",4.66666666666667,6.33333333333333,-1.66666666666667,TRUE,FALSE,FALSE,89
"33",NA,"ms","pro-first",5,5,4,4,5,5,5,4,5,6,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,"1","2",NA,"0",0,"illinois","illinois",4.33333333333333,5,-0.666666666666667,TRUE,FALSE,FALSE,89
"34",NA,"tv","anti-first",5,5,5,5,6,5,5,5,5,6,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"1","4",NA,"0",0,"illinois","illinois",5.33333333333333,5.33333333333333,0,TRUE,FALSE,FALSE,89
"35",NA,"ms","pro-first",7,7,7,7,7,5,6,4,3,3,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"1","1",NA,"0",0,"illinois","illinois",7,3.33333333333333,3.66666666666667,TRUE,TRUE,FALSE,89
"36",NA,"tv","anti-first",4,3,3,3,4,3,3,2,6,7,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"1",NA,NA,"0",0,"illinois","illinois",3.33333333333333,5,-1.66666666666667,TRUE,FALSE,FALSE,89
"37",NA,"tv","pro-first",6,6,4,5,6,7,7,7,7,7,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"1","1",NA,"0",0,"illinois","illinois",5,7,-2,TRUE,TRUE,FALSE,89
"38",NA,"ms","anti-first",7,7,6,7,7,4,6,4,5,6,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,"1","1",NA,"0",0,"illinois","illinois",6.66666666666667,5,1.66666666666667,TRUE,TRUE,FALSE,89
